promedio,porcentaje_creditos,nota_asignatura,nota_entrevista,tipo_monitoria,semestre_asignatura,creditos_asignatura,num_postulantes,num_monitores_requeridos,seleccionado,ratio_competencia,puntaje_formula
4.7,80.7,3.09,2.77,biblioteca,5,3,10,3,0,0.3,3.445
3.73,77.4,3.84,2.66,biblioteca,5,3,10,3,0,0.3,3.335
4.12,61.8,4.83,4.68,biblioteca,4,4,9,3,1,0.3333,4.557
4.31,44.8,3.91,4.88,biblioteca,4,4,9,3,1,0.3333,4.418
4.94,65.9,4.53,3.85,biblioteca,4,4,9,3,1,0.3333,4.381
4.88,95.0,4.75,3.16,biblioteca,4,4,9,3,0,0.3333,4.153
3.88,42.6,4.56,3.83,biblioteca,4,4,9,3,0,0.3333,4.064
4.45,85.2,3.6,4.1,biblioteca,4,4,9,3,0,0.3333,4.055
4.98,87.6,4.0,2.95,biblioteca,4,4,9,3,0,0.3333,3.874
4.46,83.7,4.22,2.88,biblioteca,4,4,9,3,0,0.3333,3.756
3.56,33.5,3.22,3.59,biblioteca,4,4,9,3,0,0.3333,3.47
4.47,63.1,4.76,4.87,nee,3,3,11,3,1,0.2727,4.717
4.35,67.0,4.76,4.58,nee,3,3,11,3,1,0.2727,4.565
4.75,67.6,3.53,4.68,nee,3,3,11,3,1,0.2727,4.356
4.35,90.5,4.08,4.32,nee,3,3,11,3,0,0.2727,4.257
4.54,35.4,3.04,4.82,nee,3,3,11,3,0,0.2727,4.202
4.89,94.6,3.14,4.4,nee,3,3,11,3,0,0.2727,4.169
4.18,73.2,3.95,3.87,nee,3,3,11,3,0,0.2727,3.987
4.02,30.3,4.53,2.82,nee,3,3,11,3,0,0.2727,3.693
3.85,71.2,3.17,3.71,nee,3,3,11,3,0,0.2727,3.59
4.53,32.7,3.62,2.64,nee,3,3,11,3,0,0.2727,3.501
3.59,72.1,3.85,3.03,nee,3,3,11,3,0,0.2727,3.444
3.55,73.5,4.99,4.12,laboratorios,4,4,10,3,1,0.3,4.21
3.91,35.8,3.46,4.76,laboratorios,4,4,10,3,1,0.3,4.115
4.45,55.1,3.88,3.79,laboratorios,4,4,10,3,1,0.3,4.015
4.61,76.0,3.14,4.08,laboratorios,4,4,10,3,0,0.3,3.957
4.14,49.5,3.48,4.17,laboratorios,4,4,10,3,0,0.3,3.954
4.8,53.2,4.72,2.68,laboratorios,4,4,10,3,0,0.3,3.928
4.1,44.0,3.68,3.97,laboratorios,4,4,10,3,0,0.3,3.922
4.67,51.7,3.46,3.05,laboratorios,4,4,10,3,0,0.3,3.659
4.3,52.9,3.43,2.83,laboratorios,4,4,10,3,0,0.3,3.451
4.12,61.8,3.24,3.06,laboratorios,4,4,10,3,0,0.3,3.432
4.7,80.7,4.35,4.96,acreditacion,4,4,8,4,1,0.5,4.699
4.98,36.0,4.57,4.52,acreditacion,4,4,8,4,1,0.5,4.673
4.58,56.6,3.93,4.32,acreditacion,4,4,8,4,1,0.5,4.281
3.83,46.2,3.68,4.65,acreditacion,4,4,8,4,1,0.5,4.113
4.3,35.5,3.86,3.56,acreditacion,4,4,8,4,0,0.5,3.872
4.14,43.6,3.2,3.51,acreditacion,4,4,8,4,0,0.5,3.606
4.09,80.4,3.5,2.98,acreditacion,4,4,8,4,0,0.5,3.469
4.05,61.8,3.38,2.74,acreditacion,4,4,8,4,0,0.5,3.325
4.15,89.4,4.62,4.64,cultural,4,3,9,2,1,0.2222,4.487
4.26,66.1,3.96,4.66,cultural,4,3,9,2,1,0.2222,4.33
4.85,67.6,4.8,2.91,cultural,4,3,9,2,0,0.2222,4.059
4.3,74.5,3.19,4.38,cultural,4,3,9,2,0,0.2222,3.999
4.39,63.3,3.2,4.13,cultural,4,3,9,2,0,0.2222,3.929
3.99,62.6,3.37,3.66,cultural,4,3,9,2,0,0.2222,3.672
3.74,86.9,4.75,2.69,cultural,4,3,9,2,0,0.2222,3.623
3.71,30.2,3.47,3.52,cultural,4,3,9,2,0,0.2222,3.562
4.35,54.7,4.08,2.54,cultural,4,3,9,2,0,0.2222,3.545
4.52,73.5,4.46,4.46,nee,5,4,9,4,1,0.4444,4.478
3.51,35.1,4.85,4.46,nee,5,4,9,4,1,0.4444,4.292
4.21,73.3,4.84,3.83,nee,5,4,9,4,1,0.4444,4.247
4.69,32.4,4.32,3.72,nee,5,4,9,4,1,0.4444,4.191
4.19,71.3,3.57,4.24,nee,5,4,9,4,0,0.4444,4.024
3.88,42.6,3.12,4.34,nee,5,4,9,4,0,0.4444,3.836
4.32,36.7,3.1,3.69,nee,5,4,9,4,0,0.4444,3.702
4.69,47.4,3.38,3.04,nee,5,4,9,4,0,0.4444,3.637
3.71,30.2,3.12,3.28,nee,5,4,9,4,0,0.4444,3.361
4.63,61.0,4.72,3.51,nee,5,4,5,1,1,0.2,4.209
3.72,87.0,4.88,3.92,nee,5,4,5,1,0,0.2,4.148
3.85,72.0,3.16,4.14,nee,5,4,5,1,0,0.2,3.759
4.09,80.4,4.16,2.6,nee,5,4,5,1,0,0.2,3.515
4.22,88.5,3.14,2.67,nee,5,4,5,1,0,0.2,3.276
3.83,48.6,5.0,4.99,acreditacion,5,3,8,3,1,0.375,4.645
4.03,50.2,3.53,4.83,acreditacion,5,3,8,3,1,0.375,4.2
4.05,47.8,3.41,4.29,acreditacion,5,3,8,3,1,0.375,3.954
3.67,92.4,3.63,4.38,acreditacion,5,3,8,3,0,0.375,3.942
4.91,32.6,3.48,3.49,acreditacion,5,3,8,3,0,0.375,3.913
4.31,44.8,4.34,3.25,acreditacion,5,3,8,3,0,0.375,3.895
4.56,89.9,3.15,3.65,acreditacion,5,3,8,3,0,0.375,3.773
3.97,94.9,3.15,3.03,acreditacion,5,3,8,3,0,0.375,3.348
4.41,54.3,4.97,4.52,regimenes_especiales,5,4,8,2,1,0.25,4.622
4.8,94.8,4.11,4.83,regimenes_especiales,5,4,8,2,1,0.25,4.605
4.97,64.4,3.53,4.72,regimenes_especiales,5,4,8,2,0,0.25,4.438
4.51,69.3,3.21,4.7,regimenes_especiales,5,4,8,2,0,0.25,4.196
3.91,77.4,4.06,4.17,regimenes_especiales,5,4,8,2,0,0.25,4.059
4.55,92.0,4.09,3.26,regimenes_especiales,5,4,8,2,0,0.25,3.896
4.09,32.3,3.57,3.6,regimenes_especiales,5,4,8,2,0,0.25,3.738
3.88,56.2,4.48,2.89,regimenes_especiales,5,4,8,2,0,0.25,3.664
3.81,89.5,4.81,4.62,tic,5,4,8,2,1,0.25,4.434
3.83,87.6,4.54,4.09,tic,5,4,8,2,1,0.25,4.147
4.09,41.0,3.52,4.35,tic,5,4,8,2,0,0.25,4.023
4.17,94.0,3.53,3.72,tic,5,4,8,2,0,0.25,3.798
3.72,74.4,3.41,4.09,tic,5,4,8,2,0,0.25,3.775
3.56,33.5,4.1,3.57,tic,5,4,8,2,0,0.25,3.726
3.52,62.8,3.18,3.56,tic,5,4,8,2,0,0.25,3.434
4.18,59.7,3.55,2.51,tic,5,4,8,2,0,0.25,3.323
3.56,56.3,4.89,4.23,nee,3,3,4,1,1,0.25,4.227
4.32,67.2,3.74,3.88,nee,3,3,4,1,0,0.25,3.97
4.58,56.6,3.3,2.59,nee,3,3,4,1,0,0.25,3.4
3.84,33.3,3.86,2.6,nee,3,3,4,1,0,0.25,3.35
4.98,87.6,4.86,4.66,permanencia_graduacion,5,4,8,1,1,0.125,4.816
3.96,69.1,4.95,4.53,permanencia_graduacion,5,4,8,1,0,0.125,4.485
4.37,58.4,4.77,3.52,permanencia_graduacion,5,4,8,1,0,0.125,4.15
4.58,56.6,3.21,4.45,permanencia_graduacion,5,4,8,1,0,0.125,4.117
4.74,69.8,4.24,2.89,permanencia_graduacion,5,4,8,1,0,0.125,3.85
4.51,83.4,4.76,2.56,permanencia_graduacion,5,4,8,1,0,0.125,3.805
3.64,36.7,4.47,3.33,permanencia_graduacion,5,4,8,1,0,0.125,3.765
4.09,41.0,3.42,3.12,permanencia_graduacion,5,4,8,1,0,0.125,3.501
3.84,33.3,4.64,4.68,deportiva,2,4,7,2,1,0.2857,4.416
4.68,58.8,3.45,4.15,deportiva,2,4,7,2,1,0.2857,4.099
3.71,30.2,4.84,3.37,deportiva,2,4,7,2,0,0.2857,3.913
3.64,36.7,3.32,4.25,deportiva,2,4,7,2,0,0.2857,3.788
4.55,92.0,3.8,3.2,deportiva,2,4,7,2,0,0.2857,3.785
4.38,75.5,3.94,3.0,deportiva,2,4,7,2,0,0.2857,3.696
4.4,52.8,3.77,2.6,deportiva,2,4,7,2,0,0.2857,3.491
4.45,53.6,4.96,3.84,regimenes_especiales,3,3,9,3,1,0.3333,4.359
4.94,54.6,4.21,3.78,regimenes_especiales,3,3,9,3,1,0.3333,4.257
4.7,84.7,4.93,3.16,regimenes_especiales,3,3,9,3,1,0.3333,4.153
4.38,68.8,3.77,3.94,regimenes_especiales,3,3,9,3,0,0.3333,4.021
4.45,53.6,4.46,3.28,regimenes_especiales,3,3,9,3,0,0.3333,3.985
4.33,92.1,4.94,2.95,regimenes_especiales,3,3,9,3,0,0.3333,3.961
4.58,31.8,4.88,2.79,regimenes_especiales,3,3,9,3,0,0.3333,3.954
3.99,90.8,4.28,3.5,regimenes_especiales,3,3,9,3,0,0.3333,3.881
4.78,84.0,3.22,3.59,regimenes_especiales,3,3,9,3,0,0.3333,3.836
4.73,30.9,3.63,4.62,tic,3,3,9,1,1,0.1111,4.356
3.77,79.7,4.48,4.18,tic,3,3,9,1,0,0.1111,4.147
3.88,42.6,4.08,4.3,tic,3,3,9,1,0,0.1111,4.108
4.88,82.7,4.33,3.33,tic,3,3,9,1,0,0.1111,4.095
4.86,52.5,4.44,3.25,tic,3,3,9,1,0,0.1111,4.09
3.74,86.9,3.0,4.81,tic,3,3,9,1,0,0.1111,3.946
4.76,62.3,3.8,3.24,tic,3,3,9,1,0,0.1111,3.864
3.76,39.0,3.62,3.52,tic,3,3,9,1,0,0.1111,3.622
3.63,91.1,3.73,2.67,tic,3,3,9,1,0,0.1111,3.276
4.05,58.4,4.92,4.34,academica_cursos,5,3,9,2,1,0.2222,4.427
4.13,75.4,4.02,4.48,academica_cursos,5,3,9,2,1,0.2222,4.237
4.56,51.0,3.88,4.19,academica_cursos,5,3,9,2,0,0.2222,4.208
4.34,67.5,3.42,4.46,academica_cursos,5,3,9,2,0,0.2222,4.112
4.62,48.7,4.67,3.26,academica_cursos,5,3,9,2,0,0.2222,4.091
4.67,51.7,4.5,2.94,academica_cursos,5,3,9,2,0,0.2222,3.927
4.22,51.7,4.14,3.52,academica_cursos,5,3,9,2,0,0.2222,3.916
3.98,34.8,4.33,3.45,academica_cursos,5,3,9,2,0,0.2222,3.873
4.13,76.4,4.21,3.31,academica_cursos,5,3,9,2,0,0.2222,3.826
4.73,30.9,3.95,4.62,investigacion,4,3,7,1,1,0.1429,4.452
4.28,57.8,4.03,4.08,investigacion,4,3,7,1,0,0.1429,4.125
3.99,67.4,3.67,4.55,investigacion,4,3,7,1,0,0.1429,4.118
3.6,69.4,4.5,4.18,investigacion,4,3,7,1,0,0.1429,4.102
3.87,88.9,3.15,3.54,investigacion,4,3,7,1,0,0.1429,3.522
4.13,76.4,3.05,3.11,investigacion,4,3,7,1,0,0.1429,3.398
3.85,92.6,3.45,3.0,investigacion,4,3,7,1,0,0.1429,3.39
4.75,74.4,4.5,4.43,investigacion,5,3,9,2,1,0.2222,4.547
3.73,77.4,4.34,4.97,investigacion,5,3,9,2,1,0.2222,4.409
4.92,33.7,3.5,4.62,investigacion,5,3,9,2,0,0.2222,4.374
4.27,47.0,3.35,4.89,investigacion,5,3,9,2,0,0.2222,4.242
3.97,94.9,3.91,4.5,investigacion,5,3,9,2,0,0.2222,4.164
4.12,61.8,3.99,3.11,investigacion,5,3,9,2,0,0.2222,3.677
4.52,76.0,4.04,2.63,investigacion,5,3,9,2,0,0.2222,3.62
4.03,50.2,4.31,2.51,investigacion,5,3,9,2,0,0.2222,3.506
3.64,36.7,3.21,3.56,investigacion,5,3,9,2,0,0.2222,3.479
4.99,65.2,4.01,4.58,acreditacion,5,4,11,3,1,0.2727,4.532
4.2,55.6,4.28,4.41,acreditacion,5,4,11,3,1,0.2727,4.308
4.9,43.7,4.49,3.69,acreditacion,5,4,11,3,1,0.2727,4.293
3.77,79.7,4.1,4.74,acreditacion,5,4,11,3,0,0.2727,4.257
4.05,58.4,4.23,4.3,acreditacion,5,4,11,3,0,0.2727,4.204
5.0,39.7,3.64,3.85,acreditacion,5,4,11,3,0,0.2727,4.132
4.15,81.3,4.04,4.07,acreditacion,5,4,11,3,0,0.2727,4.085
5.0,81.1,3.57,3.18,acreditacion,5,4,11,3,0,0.2727,3.843
4.7,90.5,3.55,2.69,acreditacion,5,4,11,3,0,0.2727,3.551
4.12,87.2,3.52,3.12,acreditacion,5,4,11,3,0,0.2727,3.54
3.6,54.0,3.28,3.08,acreditacion,5,4,11,3,0,0.2727,3.296
4.54,35.4,4.39,4.64,academica,4,3,6,2,1,0.3333,4.535
3.84,74.8,4.81,3.96,academica,4,3,6,2,1,0.3333,4.179
4.65,59.1,4.53,3.45,academica,4,3,6,2,0,0.3333,4.134
4.09,41.0,4.09,3.54,academica,4,3,6,2,0,0.3333,3.87
4.08,38.5,3.13,3.52,academica,4,3,6,2,0,0.3333,3.571
3.71,30.2,3.41,3.55,academica,4,3,6,2,0,0.3333,3.556
4.28,57.8,4.51,4.63,nee,5,3,8,3,1,0.375,4.489
4.7,83.4,4.5,3.87,nee,5,3,8,3,1,0.375,4.308
4.25,82.5,4.91,3.55,nee,5,3,8,3,1,0.375,4.168
4.02,53.5,4.36,3.51,nee,5,3,8,3,0,0.375,3.918
4.23,61.7,4.21,3.05,nee,5,3,8,3,0,0.375,3.752
4.16,79.8,3.33,3.67,nee,5,3,8,3,0,0.375,3.715
4.63,61.0,3.06,3.34,nee,5,3,8,3,0,0.375,3.643
3.9,32.3,3.44,3.59,nee,5,3,8,3,0,0.375,3.638
4.67,37.9,4.9,3.55,academica_cursos,3,3,9,1,1,0.1111,4.291
4.92,78.4,4.76,3.2,academica_cursos,3,3,9,1,0,0.1111,4.184
3.77,79.7,4.18,4.16,academica_cursos,3,3,9,1,0,0.1111,4.049
4.75,74.4,4.73,2.95,academica_cursos,3,3,9,1,0,0.1111,4.024
3.57,41.5,4.67,3.68,academica_cursos,3,3,9,1,0,0.1111,3.944
4.89,94.6,4.5,2.63,academica_cursos,3,3,9,1,0,0.1111,3.869
4.67,37.9,3.17,3.57,academica_cursos,3,3,9,1,0,0.1111,3.78
4.12,61.8,3.91,3.34,academica_cursos,3,3,9,1,0,0.1111,3.745
4.49,83.2,3.52,3.32,academica_cursos,3,3,9,1,0,0.1111,3.731
4.03,50.2,4.51,4.87,permanencia_graduacion,6,3,4,2,1,0.5,4.51
3.9,32.3,4.56,4.13,permanencia_graduacion,6,3,4,2,1,0.5,4.19
4.9,43.7,3.4,2.55,permanencia_graduacion,6,3,4,2,0,0.5,3.51
3.88,42.6,3.3,2.82,permanencia_graduacion,6,3,4,2,0,0.5,3.282
4.68,83.0,4.37,4.51,investigacion,5,4,12,1,1,0.0833,4.519
4.16,38.1,4.21,4.91,investigacion,5,4,12,1,0,0.0833,4.475
4.26,48.6,4.16,4.82,investigacion,5,4,12,1,0,0.0833,4.454
4.54,35.4,3.75,4.85,investigacion,5,4,12,1,0,0.0833,4.427
4.23,63.3,4.44,4.44,investigacion,5,4,12,1,0,0.0833,4.377
3.66,61.9,4.15,4.77,investigacion,5,4,12,1,0,0.0833,4.251
4.16,79.8,4.9,3.66,investigacion,5,4,12,1,0,0.0833,4.182
4.63,91.0,4.39,3.25,investigacion,5,4,12,1,0,0.0833,4.006
4.36,38.1,3.4,3.98,investigacion,5,4,12,1,0,0.0833,3.92
4.92,59.2,3.51,3.42,investigacion,5,4,12,1,0,0.0833,3.897
4.14,49.5,4.66,3.11,investigacion,5,4,12,1,0,0.0833,3.884
4.53,84.9,3.33,3.28,investigacion,5,4,12,1,0,0.0833,3.67
3.99,90.8,3.72,4.73,administrativa,4,3,8,1,1,0.125,4.205
3.84,92.7,4.3,4.04,administrativa,4,3,8,1,0,0.125,4.058
4.7,90.5,3.98,3.58,administrativa,4,3,8,1,0,0.125,4.036
4.8,94.8,3.35,3.8,administrativa,4,3,8,1,0,0.125,3.965
3.51,53.7,4.07,4.15,administrativa,4,3,8,1,0,0.125,3.934
4.13,74.1,3.14,4.12,administrativa,4,3,8,1,0,0.125,3.829
4.86,52.5,3.92,2.88,administrativa,4,3,8,1,0,0.125,3.786
4.65,59.1,3.03,3.55,administrativa,4,3,8,1,0,0.125,3.724
4.91,32.6,3.87,4.33,biblioteca,6,3,12,4,1,0.3333,4.366
4.54,58.3,3.54,4.63,biblioteca,6,3,12,4,1,0.3333,4.276
4.16,57.6,3.42,4.49,biblioteca,6,3,12,4,1,0.3333,4.07
3.56,49.7,3.68,4.7,biblioteca,6,3,12,4,1,0.3333,4.052
4.17,94.0,3.93,4.03,biblioteca,6,3,12,4,0,0.3333,4.042
3.88,56.2,3.02,4.87,biblioteca,6,3,12,4,0,0.3333,4.018
4.07,86.8,3.17,4.3,biblioteca,6,3,12,4,0,0.3333,3.892
3.81,89.5,4.76,3.11,biblioteca,6,3,12,4,0,0.3333,3.815
4.36,69.9,4.66,2.72,biblioteca,6,3,12,4,0,0.3333,3.794
3.87,61.3,4.7,2.95,biblioteca,6,3,12,4,0,0.3333,3.751
3.85,51.1,4.4,3.19,biblioteca,6,3,12,4,0,0.3333,3.751
4.36,69.9,3.76,2.57,biblioteca,6,3,12,4,0,0.3333,3.464
4.7,90.5,3.85,4.36,cultural,4,3,10,2,1,0.2,4.309
4.63,35.9,4.29,3.73,cultural,4,3,10,2,1,0.2,4.168
4.68,47.7,3.95,3.83,cultural,4,3,10,2,0,0.2,4.121
4.27,47.0,3.66,4.26,cultural,4,3,10,2,0,0.2,4.083
4.85,67.6,4.59,2.73,cultural,4,3,10,2,0,0.2,3.924
3.84,92.7,3.44,4.23,cultural,4,3,10,2,0,0.2,3.876
4.28,57.8,3.24,3.84,cultural,4,3,10,2,0,0.2,3.792
3.56,56.3,3.61,3.95,cultural,4,3,10,2,0,0.2,3.731
3.84,33.3,3.54,3.13,cultural,4,3,10,2,0,0.2,3.466
3.68,65.4,3.24,2.98,cultural,4,3,10,2,0,0.2,3.268
4.29,53.3,4.45,4.94,administrativa,5,4,6,2,1,0.3333,4.598
4.54,35.4,3.43,3.71,administrativa,5,4,6,2,1,0.3333,3.875
4.35,90.5,4.05,3.21,administrativa,5,4,6,2,0,0.3333,3.804
4.27,47.0,3.03,3.84,administrativa,5,4,6,2,0,0.3333,3.726
4.92,88.7,3.45,2.95,administrativa,5,4,6,2,0,0.3333,3.691
3.6,54.0,3.2,2.99,administrativa,5,4,6,2,0,0.3333,3.236
4.3,35.5,3.98,4.68,tic,4,4,3,1,1,0.3333,4.356
4.62,48.7,3.25,4.67,tic,4,4,3,1,0,0.3333,4.229
4.18,35.5,4.11,4.24,tic,4,4,3,1,0,0.3333,4.183
3.96,69.1,4.24,4.44,acreditacion,4,4,11,3,1,0.2727,4.236
4.63,83.0,4.93,3.13,acreditacion,4,4,11,3,1,0.2727,4.12
3.51,35.1,3.76,4.77,acreditacion,4,4,11,3,1,0.2727,4.089
3.81,89.5,4.15,4.22,acreditacion,4,4,11,3,0,0.2727,4.076
3.96,86.3,3.83,3.99,acreditacion,4,4,11,3,0,0.2727,3.933
4.53,57.3,4.72,2.79,acreditacion,4,4,11,3,0,0.2727,3.891
3.6,59.3,3.3,4.53,acreditacion,4,4,11,3,0,0.2727,3.882
4.57,62.6,3.13,3.73,acreditacion,4,4,11,3,0,0.2727,3.802
3.83,46.2,3.5,3.9,acreditacion,4,4,11,3,0,0.2727,3.759
3.95,50.2,4.9,2.71,acreditacion,4,4,11,3,0,0.2727,3.739
3.61,83.2,3.96,3.35,acreditacion,4,4,11,3,0,0.2727,3.611
4.88,82.7,3.57,4.65,tic,4,3,9,4,1,0.4444,4.395
4.18,35.5,4.53,4.06,tic,4,3,9,4,1,0.4444,4.237
4.25,33.5,4.38,3.67,tic,4,3,9,4,1,0.4444,4.057
4.61,76.0,3.48,3.88,tic,4,3,9,4,1,0.4444,3.979
4.55,73.8,3.31,3.52,tic,4,3,9,4,0,0.4444,3.766
3.6,59.3,4.92,2.75,tic,4,3,9,4,0,0.4444,3.656
4.63,83.0,3.07,3.22,tic,4,3,9,4,0,0.4444,3.598
4.4,42.2,3.53,2.7,tic,4,3,9,4,0,0.4444,3.459
3.7,44.1,4.14,2.65,tic,4,3,9,4,0,0.4444,3.412
4.18,82.9,4.32,4.83,regimenes_especiales,6,4,7,2,1,0.2857,4.482
3.76,39.0,4.3,4.77,regimenes_especiales,6,4,7,2,1,0.2857,4.326
4.36,50.5,4.58,4.06,regimenes_especiales,6,4,7,2,0,0.2857,4.306
4.28,57.8,4.5,3.92,regimenes_especiales,6,4,7,2,0,0.2857,4.202
4.68,83.0,3.85,3.86,regimenes_especiales,6,4,7,2,0,0.2857,4.103
4.78,84.0,3.33,3.27,regimenes_especiales,6,4,7,2,0,0.2857,3.741
3.57,59.3,4.65,2.68,regimenes_especiales,6,4,7,2,0,0.2857,3.538
4.28,57.8,4.2,4.72,tic,3,3,6,4,1,0.6667,4.432
3.67,92.4,4.47,4.01,tic,3,3,6,4,1,0.6667,4.046
4.37,46.9,4.08,3.59,tic,3,3,6,4,1,0.6667,3.971
4.63,91.0,3.94,3.26,tic,3,3,6,4,1,0.6667,3.875
4.48,45.9,3.05,3.07,tic,3,3,6,4,0,0.6667,3.487
3.52,62.8,3.81,3.18,tic,3,3,6,4,0,0.6667,3.471
4.28,57.8,4.63,4.92,investigacion,5,3,7,1,1,0.1429,4.641
4.21,36.0,4.15,4.41,investigacion,5,3,7,1,0,0.1429,4.272
3.83,46.2,4.99,3.59,investigacion,5,3,7,1,0,0.1429,4.082
4.45,53.6,3.94,3.52,investigacion,5,3,7,1,0,0.1429,3.925
3.76,82.5,3.35,3.8,investigacion,5,3,7,1,0,0.1429,3.653
4.38,75.5,3.64,2.76,investigacion,5,3,7,1,0,0.1429,3.51
3.51,38.8,3.88,3.2,investigacion,5,3,7,1,0,0.1429,3.497
4.54,58.3,4.25,4.4,academica_cursos,1,4,10,3,1,0.3,4.397
4.99,65.2,4.94,3.51,academica_cursos,1,4,10,3,1,0.3,4.383
3.6,54.0,4.89,4.53,academica_cursos,1,4,10,3,1,0.3,4.359
3.74,86.9,4.03,4.97,academica_cursos,1,4,10,3,0,0.3,4.319
4.76,76.7,4.32,3.86,academica_cursos,1,4,10,3,0,0.3,4.268
4.09,32.4,3.72,4.39,academica_cursos,1,4,10,3,0,0.3,4.099
4.94,54.6,4.39,3.22,academica_cursos,1,4,10,3,0,0.3,4.087
4.16,38.1,4.1,3.64,academica_cursos,1,4,10,3,0,0.3,3.934
4.63,61.0,3.83,2.97,academica_cursos,1,4,10,3,0,0.3,3.726
4.05,61.8,3.63,3.31,academica_cursos,1,4,10,3,0,0.3,3.628
4.47,30.7,4.89,4.12,laboratorios,4,3,12,3,1,0.25,4.456
4.39,63.3,4.6,4.27,laboratorios,4,3,12,3,1,0.25,4.405
4.59,58.9,3.31,4.83,laboratorios,4,3,12,3,1,0.25,4.302
4.34,67.5,4.76,3.71,laboratorios,4,3,12,3,0,0.25,4.214
4.76,56.4,3.06,4.08,laboratorios,4,3,12,3,0,0.25,3.978
3.91,77.4,3.58,4.26,laboratorios,4,3,12,3,0,0.25,3.951
3.85,92.6,3.94,3.64,laboratorios,4,3,12,3,0,0.25,3.793
3.8,48.9,3.83,3.71,laboratorios,4,3,12,3,0,0.25,3.773
4.18,73.2,4.68,2.78,laboratorios,4,3,12,3,0,0.25,3.77
4.99,53.3,3.26,3.22,laboratorios,4,3,12,3,0,0.25,3.763
4.53,42.8,3.82,3.06,laboratorios,4,3,12,3,0,0.25,3.729
4.3,74.5,3.62,2.53,laboratorios,4,3,12,3,0,0.25,3.388
4.85,67.6,4.17,5.0,academica_cursos,5,4,8,4,1,0.5,4.706
4.22,51.7,4.76,4.66,academica_cursos,5,4,8,4,1,0.5,4.558
4.53,32.7,3.83,4.84,academica_cursos,5,4,8,4,1,0.5,4.444
